Date,^J203.JO
2015-07-22,51977.55859375
2015-07-23,52237.01953125
2015-07-24,51356.078125
2015-07-27,51301.55078125
2015-07-28,50758.421875
2015-07-29,51598.5390625
2015-07-30,51774.41015625
2015-07-31,52053.26953125
2015-08-03,51629.671875
2015-08-04,52437.83984375
2015-08-05,52774.2109375
2015-08-06,52464.58984375
2015-08-07,52014.9609375
2015-08-10,52464.58984375
2015-08-11,52221.171875
2015-08-12,50570.6015625
2015-08-13,51375.44140625
2015-08-14,50821.1796875
2015-08-17,50751.1015625
2015-08-18,50977.03125
2015-08-19,50140.8984375
2015-08-20,49761.671875
2015-08-21,49028.359375
2015-08-24,47631.19140625
2015-08-25,48980.83984375
2015-08-26,48359.23828125
2015-08-27,49125.078125
2015-08-28,49966.80078125
2015-08-31,49972.328125
2015-09-01,48515.12890625
2015-09-02,49228.76953125
2015-09-03,50411.08984375
2015-09-04,49102.5
2015-09-07,48847.05078125
2015-09-08,49573.48828125
2015-09-09,49723.55078125
2015-09-10,49528.12890625
2015-09-11,48930.640625
2015-09-14,49366.6015625
2015-09-15,49491.6796875
2015-09-16,51029.23828125
2015-09-17,51573.5703125
2015-09-18,51044.578125
2015-09-21,50737.140625
2015-09-22,49853.08984375
2015-09-23,50381.62890625
2015-09-24,49853.08984375
2015-09-25,50331.12109375
2015-09-28,49490.80859375
2015-09-29,49383.9296875
2015-09-30,50088.859375
2015-10-01,50516.578125
2015-10-02,50955.890625
2015-10-05,52071.30859375
2015-10-06,52070.1484375
2015-10-07,52565.421875
2015-10-08,52726.6015625
2015-10-09,53295.640625
2015-10-12,52757.6015625
2015-10-13,53063.05859375
2015-10-14,53059.05859375
2015-10-15,52966.421875
2015-10-16,52945.109375
2015-10-19,53184.0703125
2015-10-20,52880.16015625
2015-10-21,52997.96875
2015-10-22,53293.96875
2015-10-23,54298.41015625
2015-10-26,54150.69921875
2015-10-27,53770.2890625
2015-10-28,53755.73046875
2015-10-29,53406.3203125
2015-10-30,53793.73828125
2015-11-02,53860.26171875
2015-11-03,54076.0703125
2015-11-04,54609.01171875
2015-11-05,54073.01171875
2015-11-06,52964.0703125
2015-11-09,53371.23046875
2015-11-10,52565.5
2015-11-11,52594.1015625
2015-11-12,52056.671875
2015-11-13,51199.33984375
2015-11-16,51547.37890625
2015-11-17,51981.6484375
2015-11-18,51654.5390625
2015-11-19,52116.26171875
2015-11-20,52240.578125
2015-11-23,52195.98046875
2015-11-24,51817.83984375
2015-11-25,51914.55078125
2015-11-26,52229.921875
2015-11-27,51637.28125
2015-11-30,51607.828125
2015-12-01,51535.8203125
2015-12-02,51159.109375
2015-12-03,50424.890625
2015-12-04,49284.48828125
2015-12-07,49860.73828125
2015-12-08,49083.80078125
2015-12-09,49523.55859375
2015-12-10,48984.53125
2015-12-11,48067.53125
2015-12-14,48081.7109375
2015-12-15,48428.76953125
2015-12-16,48081.7109375
2015-12-17,49706.2890625
2015-12-18,48717.28125
2015-12-21,49189.98828125
2015-12-22,49780.328125
2015-12-23,50839.80859375
2015-12-24,51324.01171875
2015-12-28,51188.71875
2015-12-29,50964.44140625
2015-12-30,50805.12890625
2015-12-31,50693.76171875
2016-01-04,49316.609375
2016-01-05,49599.71875
2016-01-06,49082.2890625
2016-01-07,48052.78125
2016-01-08,48104.6796875
2016-01-11,48322.6796875
2016-01-12,48396.1796875
2016-01-13,48412.80078125
2016-01-14,47697.53125
2016-01-15,46960.37109375
2016-01-18,46876.62109375
2016-01-19,47627.76171875
2016-01-20,46329.78125
2016-01-21,46282.01953125
2016-01-22,47661.87109375
2016-01-25,47210.421875
2016-01-26,47532.3984375
2016-01-27,47923.921875
2016-01-28,48702.609375
2016-01-29,49141.94140625
2016-02-01,49055.5390625
2016-02-02,48029.23828125
2016-02-03,48535.48046875
2016-02-04,49627.53125
2016-02-05,49753.2890625
2016-02-08,49429.58984375
2016-02-09,48344.75
2016-02-10,48273.23828125
2016-02-11,47411.5703125
2016-02-12,48589.69140625
2016-02-15,49851.94921875
2016-02-16,49387.1015625
2016-02-17,50039.30859375
2016-02-18,49857.69921875
2016-02-19,48940.4296875
2016-02-22,49112.80078125
2016-02-23,48421.98828125
2016-02-24,47995.8203125
2016-02-25,48373.171875
2016-02-26,49429.3984375
2016-02-29,49415.30859375
2016-03-01,50315.08984375
2016-03-02,50966.9296875
2016-03-03,51787.01171875
2016-03-04,52200.7109375
2016-03-07,52673.7890625
2016-03-08,52247.83984375
2016-03-09,51484.4609375
2016-03-10,51533.78125
2016-03-11,51739.828125
2016-03-14,52471.71875
2016-03-15,52253.7890625
2016-03-16,52685.69921875
2016-03-17,53190.55859375
2016-03-18,53824.28125
2016-03-21,53190.55859375
2016-03-22,53392.859375
2016-03-23,52569.55078125
2016-03-24,52323.78125
2016-03-29,51787.19921875
2016-03-30,52495.4609375
2016-03-31,52250.28125
2016-04-01,51584.12890625
2016-04-04,51895.140625
2016-04-05,51226.08984375
2016-04-06,51184.3203125
2016-04-07,51146.8203125
2016-04-08,51424.48046875
2016-04-11,51428.078125
2016-04-12,52059.76171875
2016-04-13,52938.23828125
2016-04-14,52848.0
2016-04-15,53038.91015625
2016-04-18,53166.58984375
2016-04-19,53380.94140625
2016-04-20,53789.75
2016-04-21,53323.578125
2016-04-22,52925.75
2016-04-25,52985.30859375
2016-04-26,53062.94921875
2016-04-27,52985.30859375
2016-04-28,53223.98046875
2016-04-29,52957.3203125
2016-05-02,53223.98046875
2016-05-03,51912.109375
2016-05-04,51873.5
2016-05-05,51933.80078125
2016-05-06,51417.37890625
2016-05-09,51348.71875
2016-05-10,51875.26171875
2016-05-11,52130.33984375
2016-05-12,51458.48046875
2016-05-13,51602.55078125
2016-05-16,52412.6796875
2016-05-17,52528.83984375
2016-05-18,52797.23046875
2016-05-19,52370.1015625
2016-05-20,52638.25
2016-05-23,52628.62109375
2016-05-24,53050.76171875
2016-05-25,53721.87890625
2016-05-26,53921.0
2016-05-27,54105.37109375
2016-05-30,54474.08984375
2016-05-31,53905.2109375
2016-06-01,53518.359375
2016-06-02,53716.91015625
2016-06-03,54259.359375
2016-06-06,53990.76171875
2016-06-07,54305.73046875
2016-06-08,53960.1796875
2016-06-09,53353.87109375
2016-06-10,53175.1484375
2016-06-13,52511.51953125
2016-06-14,51394.30859375
2016-06-15,52026.7109375
2016-06-17,52140.609375
2016-06-20,53032.140625
2016-06-21,52955.1796875
2016-06-22,53557.19921875
2016-06-23,53585.53125
2016-06-24,51679.66015625
2016-06-27,50086.6796875
2016-06-28,51141.140625
2016-06-29,51890.421875
2016-06-30,52217.71875
2016-07-01,52357.5
